board_size:    (2108267, 16)
direction_size:    (2108267,)
board_size:    (140250, 16)
direction_size:    (140250,)
Epoch:  0 | train loss: 1.1148 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0341 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0170 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0618 | test accuracy: 35.00
Epoch:  0 | train loss: 0.9868 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0480 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1431 | test accuracy: 39.00
Epoch:  0 | train loss: 0.9808 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1173 | test accuracy: 34.00
Epoch:  0 | train loss: 1.0574 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0288 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0990 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0078 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1202 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0643 | test accuracy: 34.00
Epoch:  0 | train loss: 1.0829 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0892 | test accuracy: 40.00
Epoch:  0 | train loss: 0.9533 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1533 | test accuracy: 40.00
Epoch:  0 | train loss: 1.1284 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0964 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0739 | test accuracy: 34.00
Epoch:  0 | train loss: 1.0668 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0543 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0825 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1151 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0479 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0926 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0547 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0607 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0342 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0891 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1520 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0951 | test accuracy: 43.00
Epoch:  0 | train loss: 0.9980 | test accuracy: 46.00
Epoch:  0 | train loss: 1.1221 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0373 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1348 | test accuracy: 42.00
Epoch:  0 | train loss: 1.1175 | test accuracy: 42.00
Epoch:  0 | train loss: 1.1341 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0686 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0592 | test accuracy: 46.00
Epoch:  0 | train loss: 0.9998 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1470 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0324 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1123 | test accuracy: 37.00
Epoch:  0 | train loss: 1.0920 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0971 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0574 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0726 | test accuracy: 40.00
Epoch:  0 | train loss: 0.9808 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0411 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0167 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1067 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1158 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0829 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0648 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0543 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1440 | test accuracy: 43.00
Epoch:  0 | train loss: 1.1538 | test accuracy: 45.00
